iteration,best_perplexity_mean,best_perplexity_std,T_best_mean,T_best_std,step_time_mean,step_time_std
0.0,5364.278478203431,3548.615829151338,115.0,0.0,0.0,0.0
1.0,5101.531327185191,3310.7155386860495,112.8,0.2708012801545399,114.21194268998224,15.275080304100802
2.0,4849.662800550162,3083.1964415248553,110.475,0.2629955639676588,53.59369314500073,7.707012017237645
3.0,4598.949384317123,2801.5680214575896,107.675,0.5499999999999972,36.82166408499761,5.638336652442989
4.0,4325.289868540215,2516.720255394288,104.725,0.3304037933599821,24.07990895000112,2.749653488185863
5.0,4189.88854684226,2425.480065871312,102.95,1.0148891565092244,15.955443982500585,3.382646141095997
6.0,3990.11768396248,2251.6160659740985,99.625,2.209637979398437,13.261959610000485,2.804335092631231
7.0,3781.373053864515,2009.2654678972483,96.65,2.587791851495531,9.826225857509415,2.60315761499083
8.0,3644.4010076728896,1861.010909881132,93.925,2.8135090782390098,12.172808629999054,2.121952850049306
9.0,3436.9423189596096,1667.841052494333,90.625,3.0203476621077825,15.33308485749876,4.048821448462695
10.0,3305.287851437478,1550.5544397608437,88.075,3.42867807373824,19.16189173249877,3.565372057666377
11.0,3229.2155779929353,1508.779080139196,85.95,3.838836629327517,18.788174399995476,4.116354609806974
12.0,3144.648520765987,1444.4449218767447,83.075,3.3129795250398577,21.642522374997498,5.4935591073419925
13.0,3014.866023369384,1303.8807402644543,80.15,4.51700490738425,20.83444742249849,4.414454113170959
14.0,2906.806372894867,1213.073774376233,77.225,5.086174069638849,20.342793427506695,3.0114683087900223
15.0,2828.9629345916974,1146.041541334405,74.9,5.907622195096771,16.972277645004215,2.7726994322113168
16.0,2753.596205391139,1076.2767997190108,72.85,6.942862041934386,10.91925702749868,3.5767436673976087
17.0,2683.376168625117,1022.6533705872424,70.5,7.71794445864095,7.726734795005177,2.762927343346426
18.0,2615.4808776253367,953.5003673741112,68.05,8.179038248270189,9.140340152499268,1.896660288510165
19.0,2585.536826315795,939.3613428042058,66.4,9.441751249988888,8.992760382514097,3.7963312347003497
20.0,2532.1414201500475,883.874177777288,64.4,9.58123165360279,8.092106839996996,2.1119270123555056
